date,day-stars,total-stars
18-09-2014,0,0
19-09-2014,0,0
20-09-2014,0,0
21-09-2014,0,0
22-09-2014,0,0
23-09-2014,0,0
24-09-2014,0,0
25-09-2014,0,0
26-09-2014,0,0
27-09-2014,0,0
28-09-2014,0,0
29-09-2014,1,1
30-09-2014,2,3
01-10-2014,4,7
02-10-2014,2,9
03-10-2014,3,12
04-10-2014,2,14
05-10-2014,0,14
06-10-2014,0,14
07-10-2014,4,18
08-10-2014,5,23
09-10-2014,1,24
10-10-2014,0,24
11-10-2014,0,24
12-10-2014,0,24
13-10-2014,2,26
14-10-2014,3,29
15-10-2014,0,29
16-10-2014,0,29
17-10-2014,1,30
18-10-2014,0,30
19-10-2014,0,30
20-10-2014,1,31
21-10-2014,1,32
22-10-2014,0,32
23-10-2014,4,36
24-10-2014,2,38
25-10-2014,2,40
26-10-2014,2,42
27-10-2014,16,58
28-10-2014,20,78
29-10-2014,15,93
30-10-2014,10,103
31-10-2014,16,119
01-11-2014,11,130
02-11-2014,10,140
03-11-2014,10,150
04-11-2014,12,162
05-11-2014,9,171
06-11-2014,9,180
07-11-2014,4,184
08-11-2014,1,185
09-11-2014,4,189
10-11-2014,1,190
11-11-2014,5,195
12-11-2014,11,206
13-11-2014,4,210
14-11-2014,6,216
15-11-2014,1,217
16-11-2014,7,224
17-11-2014,3,227
18-11-2014,5,232
19-11-2014,11,243
20-11-2014,1,244
21-11-2014,5,249
22-11-2014,5,254
23-11-2014,3,257
24-11-2014,8,265
25-11-2014,6,271
26-11-2014,6,277
27-11-2014,11,288
28-11-2014,8,296
29-11-2014,1,297
30-11-2014,1,298
01-12-2014,4,302
02-12-2014,1,303
03-12-2014,6,309
04-12-2014,7,316
05-12-2014,6,322
06-12-2014,6,328
07-12-2014,5,333
08-12-2014,7,340
09-12-2014,3,343
10-12-2014,15,358
11-12-2014,20,378
12-12-2014,26,404
13-12-2014,10,414
14-12-2014,6,420
15-12-2014,7,427
16-12-2014,2,429
17-12-2014,2,431
18-12-2014,4,435
19-12-2014,7,442
20-12-2014,4,446
21-12-2014,6,452
22-12-2014,3,455
23-12-2014,2,457
24-12-2014,1,458
25-12-2014,3,461
26-12-2014,2,463
27-12-2014,4,467
28-12-2014,3,470
29-12-2014,4,474
30-12-2014,7,481
31-12-2014,4,485
01-01-2015,3,488
02-01-2015,2,490
03-01-2015,3,493
04-01-2015,5,498
05-01-2015,6,504
06-01-2015,2,506
07-01-2015,10,516
08-01-2015,7,523
09-01-2015,4,527
10-01-2015,3,530
11-01-2015,7,537
