date,day-stars,total-stars
24-05-2013,0,0
25-05-2013,0,0
26-05-2013,0,0
27-05-2013,0,0
28-05-2013,0,0
29-05-2013,178,178
30-05-2013,587,765
31-05-2013,171,936
01-06-2013,45,981
02-06-2013,26,1007
03-06-2013,47,1054
04-06-2013,22,1076
05-06-2013,44,1120
06-06-2013,27,1147
07-06-2013,35,1182
08-06-2013,21,1203
09-06-2013,19,1222
10-06-2013,14,1236
11-06-2013,8,1244
12-06-2013,10,1254
13-06-2013,12,1266
14-06-2013,10,1276
15-06-2013,4,1280
16-06-2013,4,1284
17-06-2013,11,1295
18-06-2013,7,1302
19-06-2013,6,1308
20-06-2013,6,1314
21-06-2013,6,1320
22-06-2013,4,1324
23-06-2013,5,1329
24-06-2013,18,1347
25-06-2013,8,1355
26-06-2013,4,1359
27-06-2013,2,1361
28-06-2013,4,1365
29-06-2013,8,1373
30-06-2013,7,1380
01-07-2013,4,1384
02-07-2013,8,1392
03-07-2013,5,1397
04-07-2013,5,1402
05-07-2013,4,1406
06-07-2013,5,1411
07-07-2013,4,1415
08-07-2013,0,1415
09-07-2013,4,1419
10-07-2013,5,1424
11-07-2013,2,1426
12-07-2013,2,1428
13-07-2013,5,1433
14-07-2013,1,1434
15-07-2013,2,1436
16-07-2013,3,1439
17-07-2013,11,1450
18-07-2013,13,1463
19-07-2013,5,1468
20-07-2013,2,1470
21-07-2013,5,1475
22-07-2013,5,1480
23-07-2013,5,1485
24-07-2013,4,1489
25-07-2013,3,1492
26-07-2013,4,1496
27-07-2013,0,1496
28-07-2013,3,1499
29-07-2013,1,1500
30-07-2013,8,1508
31-07-2013,4,1512
01-08-2013,3,1515
02-08-2013,2,1517
03-08-2013,3,1520
04-08-2013,3,1523
05-08-2013,6,1529
06-08-2013,2,1531
07-08-2013,11,1542
08-08-2013,8,1550
09-08-2013,2,1552
10-08-2013,1,1553
11-08-2013,0,1553
12-08-2013,0,1553
13-08-2013,0,1553
14-08-2013,2,1555
15-08-2013,10,1565
16-08-2013,12,1577
17-08-2013,10,1587
18-08-2013,3,1590
19-08-2013,4,1594
20-08-2013,9,1603
21-08-2013,6,1609
22-08-2013,5,1614
23-08-2013,10,1624
24-08-2013,0,1624
25-08-2013,1,1625
26-08-2013,2,1627
27-08-2013,12,1639
28-08-2013,19,1658
29-08-2013,3,1661
30-08-2013,11,1672
31-08-2013,5,1677
01-09-2013,4,1681
02-09-2013,7,1688
03-09-2013,8,1696
04-09-2013,7,1703
05-09-2013,5,1708
06-09-2013,6,1714
07-09-2013,0,1714
08-09-2013,4,1718
09-09-2013,3,1721
10-09-2013,2,1723
11-09-2013,9,1732
12-09-2013,4,1736
13-09-2013,2,1738
14-09-2013,2,1740
15-09-2013,7,1747
16-09-2013,10,1757
17-09-2013,6,1763
18-09-2013,8,1771
19-09-2013,6,1777
20-09-2013,5,1782
21-09-2013,3,1785
22-09-2013,5,1790
23-09-2013,7,1797
24-09-2013,6,1803
25-09-2013,5,1808
26-09-2013,2,1810
27-09-2013,6,1816
28-09-2013,3,1819
29-09-2013,3,1822
30-09-2013,2,1824
01-10-2013,7,1831
02-10-2013,4,1835
03-10-2013,5,1840
04-10-2013,3,1843
05-10-2013,3,1846
06-10-2013,5,1851
07-10-2013,3,1854
08-10-2013,4,1858
09-10-2013,2,1860
10-10-2013,3,1863
11-10-2013,3,1866
12-10-2013,3,1869
13-10-2013,2,1871
14-10-2013,2,1873
15-10-2013,3,1876
16-10-2013,1,1877
17-10-2013,5,1882
18-10-2013,7,1889
19-10-2013,3,1892
20-10-2013,1,1893
21-10-2013,7,1900
22-10-2013,4,1904
23-10-2013,17,1921
24-10-2013,14,1935
25-10-2013,4,1939
26-10-2013,5,1944
27-10-2013,2,1946
28-10-2013,4,1950
29-10-2013,43,1993
30-10-2013,10,2003
31-10-2013,9,2012
01-11-2013,4,2016
02-11-2013,2,2018
03-11-2013,13,2031
04-11-2013,8,2039
05-11-2013,24,2063
06-11-2013,10,2073
07-11-2013,13,2086
08-11-2013,1,2087
09-11-2013,3,2090
10-11-2013,4,2094
11-11-2013,4,2098
12-11-2013,7,2105
13-11-2013,12,2117
14-11-2013,7,2124
15-11-2013,10,2134
16-11-2013,19,2153
17-11-2013,9,2162
18-11-2013,11,2173
19-11-2013,4,2177
20-11-2013,3,2180
21-11-2013,6,2186
22-11-2013,14,2200
23-11-2013,6,2206
24-11-2013,6,2212
25-11-2013,13,2225
26-11-2013,3,2228
27-11-2013,6,2234
28-11-2013,8,2242
29-11-2013,7,2249
30-11-2013,1,2250
01-12-2013,4,2254
02-12-2013,9,2263
03-12-2013,12,2275
04-12-2013,10,2285
05-12-2013,19,2304
06-12-2013,4,2308
07-12-2013,3,2311
08-12-2013,6,2317
09-12-2013,13,2330
10-12-2013,10,2340
11-12-2013,8,2348
12-12-2013,9,2357
13-12-2013,7,2364
14-12-2013,10,2374
15-12-2013,7,2381
16-12-2013,21,2402
17-12-2013,10,2412
18-12-2013,7,2419
19-12-2013,66,2485
20-12-2013,164,2649
21-12-2013,88,2737
22-12-2013,60,2797
23-12-2013,71,2868
24-12-2013,34,2902
25-12-2013,29,2931
26-12-2013,32,2963
27-12-2013,24,2987
28-12-2013,24,3011
29-12-2013,16,3027
30-12-2013,11,3038
31-12-2013,18,3056
01-01-2014,30,3086
02-01-2014,56,3142
03-01-2014,48,3190
04-01-2014,31,3221
05-01-2014,21,3242
06-01-2014,42,3284
07-01-2014,46,3330
08-01-2014,25,3355
09-01-2014,25,3380
10-01-2014,31,3411
11-01-2014,22,3433
12-01-2014,21,3454
13-01-2014,23,3477
14-01-2014,25,3502
15-01-2014,13,3515
16-01-2014,17,3532
17-01-2014,24,3556
18-01-2014,7,3563
19-01-2014,12,3575
20-01-2014,10,3585
21-01-2014,27,3612
22-01-2014,14,3626
23-01-2014,27,3653
24-01-2014,71,3724
25-01-2014,25,3749
26-01-2014,10,3759
27-01-2014,18,3777
28-01-2014,13,3790
29-01-2014,11,3801
30-01-2014,12,3813
31-01-2014,27,3840
01-02-2014,19,3859
02-02-2014,12,3871
03-02-2014,14,3885
04-02-2014,22,3907
05-02-2014,13,3920
06-02-2014,15,3935
07-02-2014,17,3952
08-02-2014,6,3958
09-02-2014,10,3968
10-02-2014,13,3981
11-02-2014,13,3994
12-02-2014,19,4013
13-02-2014,23,4036
14-02-2014,12,4048
15-02-2014,10,4058
16-02-2014,14,4072
17-02-2014,16,4088
18-02-2014,24,4112
19-02-2014,11,4123
20-02-2014,16,4139
21-02-2014,15,4154
22-02-2014,9,4163
23-02-2014,9,4172
24-02-2014,13,4185
25-02-2014,19,4204
26-02-2014,13,4217
27-02-2014,17,4234
28-02-2014,15,4249
01-03-2014,12,4261
02-03-2014,6,4267
03-03-2014,6,4273
04-03-2014,11,4284
05-03-2014,14,4298
06-03-2014,13,4311
07-03-2014,8,4319
08-03-2014,9,4328
09-03-2014,15,4343
10-03-2014,15,4358
11-03-2014,12,4370
12-03-2014,8,4378
13-03-2014,20,4398
14-03-2014,10,4408
15-03-2014,5,4413
16-03-2014,7,4420
17-03-2014,13,4433
18-03-2014,17,4450
19-03-2014,19,4469
20-03-2014,15,4484
21-03-2014,17,4501
22-03-2014,11,4512
23-03-2014,14,4526
24-03-2014,22,4548
25-03-2014,24,4572
26-03-2014,12,4584
27-03-2014,13,4597
28-03-2014,17,4614
29-03-2014,15,4629
30-03-2014,7,4636
31-03-2014,10,4646
01-04-2014,12,4658
02-04-2014,11,4669
03-04-2014,10,4679
04-04-2014,15,4694
05-04-2014,10,4704
06-04-2014,7,4711
07-04-2014,6,4717
08-04-2014,13,4730
09-04-2014,11,4741
10-04-2014,13,4754
11-04-2014,12,4766
12-04-2014,6,4772
13-04-2014,10,4782
14-04-2014,15,4797
15-04-2014,11,4808
16-04-2014,12,4820
17-04-2014,11,4831
18-04-2014,7,4838
19-04-2014,8,4846
20-04-2014,8,4854
21-04-2014,31,4885
22-04-2014,22,4907
23-04-2014,22,4929
24-04-2014,21,4950
25-04-2014,24,4974
26-04-2014,11,4985
27-04-2014,9,4994
28-04-2014,14,5008
29-04-2014,29,5037
30-04-2014,61,5098
01-05-2014,29,5127
02-05-2014,17,5144
03-05-2014,9,5153
04-05-2014,22,5175
05-05-2014,19,5194
06-05-2014,25,5219
07-05-2014,14,5233
08-05-2014,15,5248
09-05-2014,46,5294
10-05-2014,34,5328
11-05-2014,12,5340
12-05-2014,24,5364
13-05-2014,54,5418
14-05-2014,65,5483
15-05-2014,49,5532
16-05-2014,49,5581
17-05-2014,31,5612
18-05-2014,14,5626
19-05-2014,31,5657
20-05-2014,54,5711
21-05-2014,29,5740
22-05-2014,13,5753
23-05-2014,19,5772
24-05-2014,9,5781
25-05-2014,10,5791
26-05-2014,19,5810
27-05-2014,20,5830
28-05-2014,25,5855
29-05-2014,24,5879
30-05-2014,27,5906
31-05-2014,20,5926
01-06-2014,17,5943
02-06-2014,31,5974
03-06-2014,17,5991
04-06-2014,18,6009
05-06-2014,15,6024
06-06-2014,17,6041
07-06-2014,9,6050
08-06-2014,6,6056
09-06-2014,10,6066
10-06-2014,16,6082
11-06-2014,9,6091
12-06-2014,14,6105
13-06-2014,15,6120
14-06-2014,5,6125
15-06-2014,8,6133
16-06-2014,12,6145
17-06-2014,15,6160
18-06-2014,20,6180
19-06-2014,9,6189
20-06-2014,10,6199
21-06-2014,4,6203
22-06-2014,6,6209
23-06-2014,7,6216
24-06-2014,16,6232
25-06-2014,8,6240
26-06-2014,11,6251
27-06-2014,13,6264
28-06-2014,12,6276
29-06-2014,7,6283
30-06-2014,19,6302
01-07-2014,13,6315
02-07-2014,15,6330
03-07-2014,53,6383
04-07-2014,21,6404
05-07-2014,12,6416
06-07-2014,11,6427
07-07-2014,23,6450
08-07-2014,21,6471
09-07-2014,12,6483
10-07-2014,26,6509
11-07-2014,23,6532
12-07-2014,22,6554
13-07-2014,5,6559
14-07-2014,24,6583
15-07-2014,13,6596
16-07-2014,19,6615
17-07-2014,26,6641
18-07-2014,25,6666
19-07-2014,14,6680
20-07-2014,10,6690
21-07-2014,23,6713
22-07-2014,28,6741
23-07-2014,20,6761
24-07-2014,24,6785
25-07-2014,14,6799
26-07-2014,12,6811
27-07-2014,13,6824
28-07-2014,38,6862
29-07-2014,39,6901
30-07-2014,21,6922
31-07-2014,29,6951
01-08-2014,20,6971
02-08-2014,15,6986
03-08-2014,19,7005
04-08-2014,19,7024
05-08-2014,18,7042
06-08-2014,18,7060
07-08-2014,25,7085
08-08-2014,17,7102
09-08-2014,17,7119
10-08-2014,11,7130
11-08-2014,12,7142
12-08-2014,25,7167
13-08-2014,16,7183
14-08-2014,11,7194
15-08-2014,8,7202
16-08-2014,3,7205
17-08-2014,8,7213
18-08-2014,16,7229
19-08-2014,22,7251
20-08-2014,20,7271
21-08-2014,15,7286
22-08-2014,11,7297
23-08-2014,9,7306
24-08-2014,17,7323
25-08-2014,24,7347
26-08-2014,17,7364
27-08-2014,11,7375
28-08-2014,9,7384
29-08-2014,20,7404
30-08-2014,17,7421
31-08-2014,18,7439
01-09-2014,27,7466
02-09-2014,21,7487
03-09-2014,37,7524
04-09-2014,35,7559
05-09-2014,24,7583
06-09-2014,10,7593
07-09-2014,5,7598
08-09-2014,9,7607
09-09-2014,15,7622
10-09-2014,15,7637
11-09-2014,17,7654
12-09-2014,19,7673
13-09-2014,13,7686
14-09-2014,17,7703
15-09-2014,24,7727
16-09-2014,24,7751
17-09-2014,27,7778
18-09-2014,11,7789
19-09-2014,22,7811
20-09-2014,16,7827
21-09-2014,12,7839
22-09-2014,22,7861
23-09-2014,22,7883
24-09-2014,20,7903
25-09-2014,11,7914
26-09-2014,12,7926
27-09-2014,13,7939
28-09-2014,25,7964
29-09-2014,25,7989
30-09-2014,26,8015
01-10-2014,22,8037
02-10-2014,19,8056
03-10-2014,13,8069
04-10-2014,13,8082
05-10-2014,10,8092
06-10-2014,14,8106
07-10-2014,20,8126
08-10-2014,28,8154
09-10-2014,22,8176
10-10-2014,17,8193
11-10-2014,26,8219
12-10-2014,19,8238
13-10-2014,15,8253
14-10-2014,31,8284
15-10-2014,24,8308
16-10-2014,32,8340
17-10-2014,37,8377
18-10-2014,20,8397
19-10-2014,7,8404
20-10-2014,28,8432
21-10-2014,48,8480
22-10-2014,139,8619
23-10-2014,69,8688
24-10-2014,53,8741
25-10-2014,28,8769
26-10-2014,20,8789
27-10-2014,52,8841
28-10-2014,41,8882
29-10-2014,46,8928
30-10-2014,29,8957
31-10-2014,22,8979
01-11-2014,27,9006
02-11-2014,21,9027
03-11-2014,42,9069
04-11-2014,39,9108
05-11-2014,31,9139
06-11-2014,42,9181
07-11-2014,36,9217
08-11-2014,18,9235
09-11-2014,22,9257
10-11-2014,35,9292
11-11-2014,42,9334
12-11-2014,32,9366
13-11-2014,40,9406
14-11-2014,22,9428
15-11-2014,22,9450
16-11-2014,19,9469
17-11-2014,31,9500
18-11-2014,43,9543
19-11-2014,42,9585
20-11-2014,39,9624
21-11-2014,43,9667
22-11-2014,17,9684
23-11-2014,23,9707
24-11-2014,37,9744
25-11-2014,34,9778
26-11-2014,26,9804
27-11-2014,37,9841
28-11-2014,23,9864
29-11-2014,23,9887
30-11-2014,18,9905
01-12-2014,37,9942
02-12-2014,46,9988
03-12-2014,29,10017
04-12-2014,26,10043
05-12-2014,28,10071
06-12-2014,23,10094
07-12-2014,15,10109
08-12-2014,23,10132
09-12-2014,37,10169
10-12-2014,30,10199
11-12-2014,24,10223
12-12-2014,29,10252
13-12-2014,19,10271
14-12-2014,30,10301
15-12-2014,31,10332
16-12-2014,56,10388
17-12-2014,80,10468
18-12-2014,89,10557
19-12-2014,52,10609
20-12-2014,38,10647
21-12-2014,31,10678
22-12-2014,34,10712
23-12-2014,42,10754
24-12-2014,30,10784
25-12-2014,21,10805
26-12-2014,21,10826
27-12-2014,24,10850
28-12-2014,31,10881
29-12-2014,28,10909
30-12-2014,33,10942
31-12-2014,19,10961
01-01-2015,13,10974
02-01-2015,23,10997
03-01-2015,11,11008
04-01-2015,30,11038
05-01-2015,44,11082
06-01-2015,29,11111
07-01-2015,23,11134
08-01-2015,32,11166
09-01-2015,22,11188
10-01-2015,20,11208
11-01-2015,25,11233
12-01-2015,28,11261
13-01-2015,36,11297
14-01-2015,30,11327
15-01-2015,42,11369
16-01-2015,35,11404
17-01-2015,25,11429
18-01-2015,20,11449
19-01-2015,30,11479
20-01-2015,35,11514
21-01-2015,33,11547
22-01-2015,37,11584
23-01-2015,26,11610
24-01-2015,17,11627
25-01-2015,20,11647
26-01-2015,35,11682
27-01-2015,43,11725
28-01-2015,76,11801
29-01-2015,292,12093
30-01-2015,237,12330
31-01-2015,108,12438
01-02-2015,112,12550
02-02-2015,177,12727
03-02-2015,193,12920
04-02-2015,115,13035
05-02-2015,128,13163
06-02-2015,87,13250
07-02-2015,71,13321
08-02-2015,83,13404
09-02-2015,80,13484
10-02-2015,84,13568
11-02-2015,116,13684
12-02-2015,89,13773
13-02-2015,71,13844
14-02-2015,43,13887
15-02-2015,58,13945
16-02-2015,64,14009
17-02-2015,53,14062
18-02-2015,50,14112
19-02-2015,71,14183
20-02-2015,57,14240
21-02-2015,46,14286
22-02-2015,51,14337
23-02-2015,61,14398
24-02-2015,63,14461
25-02-2015,85,14546
26-02-2015,60,14606
27-02-2015,80,14686
28-02-2015,50,14736
01-03-2015,55,14791
02-03-2015,80,14871
03-03-2015,63,14934
04-03-2015,64,14998
05-03-2015,74,15072
06-03-2015,61,15133
07-03-2015,23,15156
08-03-2015,25,15181
09-03-2015,45,15226
10-03-2015,46,15272
11-03-2015,64,15336
12-03-2015,52,15388
13-03-2015,49,15437
14-03-2015,29,15466
15-03-2015,54,15520
16-03-2015,66,15586
17-03-2015,55,15641
18-03-2015,51,15692
19-03-2015,58,15750
20-03-2015,46,15796
21-03-2015,34,15830
22-03-2015,34,15864
23-03-2015,40,15904
24-03-2015,51,15955
25-03-2015,70,16025
26-03-2015,145,16170
27-03-2015,193,16363
28-03-2015,91,16454
29-03-2015,56,16510
30-03-2015,104,16614
31-03-2015,92,16706
01-04-2015,78,16784
02-04-2015,79,16863
03-04-2015,53,16916
04-04-2015,34,16950
05-04-2015,32,16982
06-04-2015,45,17027
07-04-2015,69,17096
08-04-2015,84,17180
09-04-2015,54,17234
10-04-2015,82,17316
11-04-2015,34,17350
12-04-2015,31,17381
13-04-2015,60,17441
14-04-2015,45,17486
15-04-2015,44,17530
16-04-2015,39,17569
17-04-2015,44,17613
18-04-2015,32,17645
19-04-2015,38,17683
20-04-2015,59,17742
21-04-2015,70,17812
22-04-2015,76,17888
23-04-2015,77,17965
24-04-2015,95,18060
25-04-2015,33,18093
26-04-2015,45,18138
27-04-2015,69,18207
28-04-2015,59,18266
29-04-2015,44,18310
30-04-2015,49,18359
01-05-2015,32,18391
02-05-2015,30,18421
03-05-2015,17,18438
04-05-2015,38,18476
05-05-2015,55,18531
06-05-2015,42,18573
07-05-2015,50,18623
08-05-2015,55,18678
09-05-2015,35,18713
10-05-2015,22,18735
11-05-2015,48,18783
12-05-2015,41,18824
13-05-2015,49,18873
14-05-2015,55,18928
15-05-2015,55,18983
16-05-2015,23,19006
17-05-2015,33,19039
18-05-2015,62,19101
19-05-2015,45,19146
20-05-2015,53,19199
21-05-2015,49,19248
22-05-2015,60,19308
23-05-2015,32,19340
24-05-2015,27,19367
25-05-2015,44,19411
26-05-2015,57,19468
27-05-2015,62,19530
28-05-2015,63,19593
29-05-2015,46,19639
30-05-2015,27,19666
31-05-2015,39,19705
01-06-2015,53,19758
02-06-2015,51,19809
03-06-2015,57,19866
04-06-2015,48,19914
05-06-2015,50,19964
06-06-2015,31,19995
07-06-2015,31,20026
08-06-2015,45,20071
09-06-2015,50,20121
10-06-2015,51,20172
11-06-2015,42,20214
12-06-2015,46,20260
13-06-2015,22,20282
14-06-2015,35,20317
15-06-2015,39,20356
16-06-2015,43,20399
17-06-2015,50,20449
18-06-2015,30,20479
19-06-2015,50,20529
20-06-2015,28,20557
21-06-2015,26,20583
22-06-2015,37,20620
23-06-2015,40,20660
24-06-2015,43,20703
25-06-2015,41,20744
26-06-2015,36,20780
27-06-2015,22,20802
28-06-2015,32,20834
29-06-2015,46,20880
30-06-2015,39,20919
01-07-2015,44,20963
02-07-2015,36,20999
03-07-2015,54,21053
04-07-2015,37,21090
05-07-2015,32,21122
06-07-2015,40,21162
07-07-2015,61,21223
08-07-2015,47,21270
09-07-2015,39,21309
10-07-2015,43,21352
11-07-2015,29,21381
12-07-2015,39,21420
13-07-2015,33,21453
14-07-2015,59,21512
15-07-2015,48,21560
16-07-2015,57,21617
17-07-2015,48,21665
18-07-2015,54,21719
19-07-2015,51,21770
20-07-2015,46,21816
21-07-2015,50,21866
22-07-2015,42,21908
23-07-2015,49,21957
24-07-2015,51,22008
25-07-2015,34,22042
26-07-2015,22,22064
27-07-2015,46,22110
28-07-2015,49,22159
29-07-2015,31,22190
30-07-2015,32,22222
