date,day-stars,total-stars
12-06-2018,0,0
13-06-2018,0,0
14-06-2018,0,0
15-06-2018,0,0
16-06-2018,0,0
17-06-2018,0,0
18-06-2018,0,0
19-06-2018,0,0
20-06-2018,0,0
21-06-2018,0,0
22-06-2018,0,0
23-06-2018,0,0
24-06-2018,0,0
25-06-2018,0,0
26-06-2018,0,0
27-06-2018,0,0
28-06-2018,0,0
29-06-2018,0,0
30-06-2018,0,0
01-07-2018,0,0
02-07-2018,0,0
03-07-2018,0,0
04-07-2018,0,0
05-07-2018,0,0
06-07-2018,0,0
07-07-2018,0,0
08-07-2018,0,0
09-07-2018,0,0
10-07-2018,0,0
11-07-2018,0,0
12-07-2018,0,0
13-07-2018,0,0
14-07-2018,0,0
15-07-2018,0,0
16-07-2018,0,0
17-07-2018,0,0
18-07-2018,0,0
19-07-2018,0,0
20-07-2018,0,0
21-07-2018,0,0
22-07-2018,0,0
23-07-2018,0,0
24-07-2018,0,0
25-07-2018,0,0
26-07-2018,0,0
27-07-2018,0,0
28-07-2018,0,0
29-07-2018,0,0
30-07-2018,0,0
31-07-2018,0,0
01-08-2018,0,0
02-08-2018,0,0
03-08-2018,0,0
04-08-2018,0,0
05-08-2018,0,0
06-08-2018,0,0
07-08-2018,0,0
08-08-2018,0,0
09-08-2018,0,0
10-08-2018,0,0
11-08-2018,0,0
12-08-2018,0,0
13-08-2018,0,0
14-08-2018,0,0
15-08-2018,0,0
16-08-2018,0,0
17-08-2018,0,0
18-08-2018,0,0
19-08-2018,0,0
20-08-2018,0,0
21-08-2018,0,0
22-08-2018,0,0
23-08-2018,0,0
24-08-2018,0,0
25-08-2018,0,0
26-08-2018,0,0
27-08-2018,0,0
28-08-2018,0,0
29-08-2018,0,0
30-08-2018,0,0
31-08-2018,0,0
01-09-2018,0,0
02-09-2018,0,0
03-09-2018,0,0
04-09-2018,0,0
05-09-2018,0,0
06-09-2018,0,0
07-09-2018,0,0
08-09-2018,0,0
09-09-2018,0,0
10-09-2018,0,0
11-09-2018,0,0
12-09-2018,0,0
13-09-2018,0,0
14-09-2018,0,0
15-09-2018,0,0
16-09-2018,0,0
17-09-2018,0,0
18-09-2018,0,0
19-09-2018,0,0
20-09-2018,0,0
21-09-2018,0,0
22-09-2018,8,8
23-09-2018,0,8
24-09-2018,1,9
25-09-2018,0,9
26-09-2018,0,9
27-09-2018,0,9
28-09-2018,0,9
29-09-2018,0,9
30-09-2018,0,9
01-10-2018,0,9
02-10-2018,0,9
03-10-2018,0,9
04-10-2018,0,9
05-10-2018,0,9
06-10-2018,0,9
07-10-2018,0,9
08-10-2018,0,9
09-10-2018,0,9
10-10-2018,0,9
11-10-2018,0,9
12-10-2018,0,9
13-10-2018,0,9
14-10-2018,0,9
15-10-2018,0,9
16-10-2018,0,9
17-10-2018,0,9
18-10-2018,0,9
19-10-2018,1,10
20-10-2018,0,10
21-10-2018,0,10
22-10-2018,0,10
23-10-2018,0,10
24-10-2018,0,10
25-10-2018,0,10
26-10-2018,0,10
27-10-2018,1,11
28-10-2018,0,11
29-10-2018,0,11
30-10-2018,0,11
31-10-2018,0,11
01-11-2018,0,11
02-11-2018,0,11
03-11-2018,0,11
04-11-2018,0,11
05-11-2018,0,11
06-11-2018,0,11
07-11-2018,0,11
08-11-2018,0,11
09-11-2018,0,11
10-11-2018,0,11
11-11-2018,0,11
12-11-2018,0,11
13-11-2018,1,12
14-11-2018,0,12
15-11-2018,0,12
16-11-2018,0,12
17-11-2018,0,12
18-11-2018,0,12
19-11-2018,0,12
20-11-2018,0,12
21-11-2018,0,12
22-11-2018,0,12
23-11-2018,0,12
24-11-2018,0,12
25-11-2018,0,12
26-11-2018,0,12
27-11-2018,0,12
28-11-2018,0,12
29-11-2018,0,12
30-11-2018,0,12
01-12-2018,0,12
02-12-2018,0,12
03-12-2018,0,12
04-12-2018,0,12
05-12-2018,0,12
06-12-2018,0,12
07-12-2018,0,12
08-12-2018,0,12
09-12-2018,0,12
10-12-2018,0,12
11-12-2018,0,12
12-12-2018,0,12
13-12-2018,0,12
14-12-2018,0,12
15-12-2018,0,12
16-12-2018,0,12
17-12-2018,0,12
18-12-2018,0,12
19-12-2018,0,12
20-12-2018,0,12
21-12-2018,0,12
22-12-2018,0,12
23-12-2018,0,12
24-12-2018,0,12
25-12-2018,0,12
26-12-2018,0,12
27-12-2018,0,12
28-12-2018,0,12
29-12-2018,0,12
30-12-2018,0,12
31-12-2018,0,12
01-01-2019,0,12
02-01-2019,0,12
03-01-2019,0,12
04-01-2019,0,12
05-01-2019,0,12
06-01-2019,0,12
07-01-2019,0,12
08-01-2019,0,12
09-01-2019,0,12
10-01-2019,0,12
11-01-2019,0,12
12-01-2019,0,12
13-01-2019,0,12
14-01-2019,0,12
15-01-2019,0,12
16-01-2019,0,12
17-01-2019,0,12
18-01-2019,0,12
19-01-2019,0,12
20-01-2019,0,12
21-01-2019,0,12
22-01-2019,0,12
23-01-2019,0,12
24-01-2019,1,13
25-01-2019,0,13
26-01-2019,0,13
27-01-2019,0,13
28-01-2019,0,13
29-01-2019,0,13
30-01-2019,0,13
31-01-2019,0,13
01-02-2019,0,13
02-02-2019,0,13
03-02-2019,0,13
04-02-2019,0,13
05-02-2019,0,13
06-02-2019,0,13
07-02-2019,0,13
08-02-2019,0,13
09-02-2019,0,13
10-02-2019,0,13
11-02-2019,0,13
12-02-2019,0,13
13-02-2019,0,13
14-02-2019,0,13
15-02-2019,0,13
16-02-2019,0,13
17-02-2019,0,13
18-02-2019,0,13
19-02-2019,0,13
20-02-2019,0,13
21-02-2019,0,13
22-02-2019,0,13
23-02-2019,0,13
24-02-2019,0,13
25-02-2019,0,13
26-02-2019,0,13
27-02-2019,0,13
28-02-2019,0,13
01-03-2019,0,13
02-03-2019,0,13
03-03-2019,0,13
04-03-2019,0,13
05-03-2019,0,13
06-03-2019,0,13
07-03-2019,0,13
08-03-2019,0,13
09-03-2019,0,13
10-03-2019,0,13
11-03-2019,0,13
12-03-2019,0,13
13-03-2019,0,13
14-03-2019,0,13
15-03-2019,0,13
16-03-2019,0,13
17-03-2019,0,13
18-03-2019,0,13
19-03-2019,0,13
20-03-2019,0,13
21-03-2019,0,13
22-03-2019,0,13
23-03-2019,0,13
24-03-2019,0,13
25-03-2019,0,13
26-03-2019,0,13
27-03-2019,0,13
28-03-2019,0,13
29-03-2019,0,13
30-03-2019,0,13
31-03-2019,0,13
01-04-2019,0,13
02-04-2019,0,13
03-04-2019,0,13
04-04-2019,0,13
05-04-2019,0,13
06-04-2019,0,13
07-04-2019,0,13
08-04-2019,0,13
09-04-2019,0,13
10-04-2019,0,13
11-04-2019,0,13
12-04-2019,0,13
13-04-2019,0,13
14-04-2019,0,13
15-04-2019,0,13
16-04-2019,0,13
17-04-2019,0,13
18-04-2019,0,13
19-04-2019,0,13
20-04-2019,0,13
21-04-2019,0,13
22-04-2019,0,13
23-04-2019,0,13
24-04-2019,0,13
25-04-2019,0,13
26-04-2019,0,13
27-04-2019,0,13
28-04-2019,0,13
29-04-2019,0,13
30-04-2019,0,13
01-05-2019,0,13
02-05-2019,1,14
03-05-2019,0,14
04-05-2019,0,14
05-05-2019,0,14
06-05-2019,0,14
07-05-2019,0,14
08-05-2019,0,14
09-05-2019,0,14
10-05-2019,0,14
11-05-2019,0,14
12-05-2019,0,14
13-05-2019,0,14
14-05-2019,0,14
15-05-2019,0,14
16-05-2019,0,14
17-05-2019,1,15
18-05-2019,0,15
19-05-2019,0,15
20-05-2019,0,15
21-05-2019,0,15
22-05-2019,0,15
23-05-2019,0,15
24-05-2019,0,15
25-05-2019,0,15
26-05-2019,0,15
27-05-2019,0,15
28-05-2019,0,15
29-05-2019,0,15
30-05-2019,0,15
31-05-2019,0,15
01-06-2019,0,15
02-06-2019,0,15
03-06-2019,0,15
04-06-2019,0,15
05-06-2019,0,15
06-06-2019,1,16
07-06-2019,0,16
08-06-2019,0,16
