metric,framework,model,date,mean,lo80,hi80,lo95,hi95,validation_rmse,is_best
github-stars,Angular,ARIMA,2025-10-01,308.84924978690435,190.5702938581944,500.15576721187347,147.51978982310857,645.422659955647,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2025-11-01,228.07023489248573,133.68588490118876,388.59667193184436,100.67757068344656,515.0742153946976,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2025-12-01,253.87356080532328,133.1637394668578,483.18844209117987,94.52252086207339,679.0546238868889,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-01-01,223.19199823342606,98.69703213847586,503.1479269120489,63.919859519563914,773.2168951667218,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-02-01,202.57423689720682,71.95528357774647,567.0530305130808,41.37750518736646,976.9355756089876,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-03-01,169.14303807025294,46.32926783837928,610.6438036318215,23.041869492332715,1203.0932762324355,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-04-01,162.1643828051292,33.158997241760346,778.3734584114735,13.927963663726626,1782.4057220321936,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-05-01,145.57797832420107,21.49019102450597,954.3099707423186,7.337724905433693,2575.8544744871733,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-06-01,133.2338549049812,13.7436745998631,1221.1327648413276,3.579373984318298,3933.7578652355655,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-07-01,119.21098287157588,8.251408145372546,1560.9979332744479,1.3802986701253,6069.952601166486,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-08-01,106.80090570242601,4.6990458726841,2038.1194473383218,0.2019719621440804,9667.308110560012,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-09-01,94.53676160992018,2.4056996514696243,2678.9993402154896,0,15653.551085011126,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-10-01,86.37660706523538,1.0543067323584607,3715.422354059805,0,27058.67551614967,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-11-01,75.20363580931127,0.1655411703843364,4981.2299358531445,0,45546.435051754066,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2026-12-01,70.94696870799739,0,7353.678751679564,0,85182.5740507892,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-01-01,60.440667527816196,0,9979.755917906195,0,147719.6803781965,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-02-01,53.27395386378543,0,14229.604742036978,0,271373.94069703296,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-03-01,46.42627579664168,0,20373.86135675707,0,504614.6422150654,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-04-01,42.89687298770102,0,31350.081400794323,0,1016184.5558566336,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-05-01,36.00600980945614,0,44558.23204126657,0,1904334.5310824688,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-06-01,33.268645061173906,0,70522.68758540649,0,4002792.4397635544,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-07-01,30.751217043889437,0,113170.31019579517,0,8590902.490670813,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-08-01,26.97711559434665,0,174957.40738706006,0,17884863.16091967,72.84587356240964,FALSE
github-stars,Angular,ARIMA,2027-09-01,23.649365344580467,0,273888.92561649694,0,37955741.62494872,72.84587356240964,FALSE
github-stars,Angular,ETS,2025-10-01,354.3410856599296,239.14138322047168,524.8039470941688,194.15514062537528,646.0097930977042,61.8621322933854,TRUE
github-stars,Angular,ETS,2025-11-01,352.70359735908727,235.16757251124736,528.7350243916371,189.70362330152875,655.0244248057579,61.8621322933854,TRUE
github-stars,Angular,ETS,2025-12-01,351.39900388010017,231.0291365145252,534.2132055532292,184.98006023575442,666.7331848278025,61.8621322933854,TRUE
