package,year,month,downloads,period
@angular/core,2015,1,0,2015-01-01
@angular/core,2015,2,0,2015-02-01
@angular/core,2015,3,0,2015-03-01
@angular/core,2015,4,0,2015-04-01
@angular/core,2015,5,0,2015-05-01
@angular/core,2015,6,0,2015-06-01
@angular/core,2015,7,0,2015-07-01
@angular/core,2015,8,0,2015-08-01
@angular/core,2015,9,0,2015-09-01
@angular/core,2015,10,0,2015-10-01
@angular/core,2015,11,0,2015-11-01
@angular/core,2015,12,0,2015-12-01
@angular/core,2016,1,0,2016-01-01
@angular/core,2016,2,0,2016-02-01
@angular/core,2016,3,0,2016-03-01
@angular/core,2016,4,0,2016-04-01
@angular/core,2016,5,0,2016-05-01
@angular/core,2016,6,0,2016-06-01
@angular/core,2016,7,0,2016-07-01
@angular/core,2016,8,0,2016-08-01
@angular/core,2016,9,0,2016-09-01
@angular/core,2016,10,648388,2016-10-01
@angular/core,2016,11,693729,2016-11-01
@angular/core,2016,12,773365,2016-12-01
@angular/core,2017,1,936740,2017-01-01
@angular/core,2017,2,1082831,2017-02-01
@angular/core,2017,3,1350222,2017-03-01
@angular/core,2017,4,1289953,2017-04-01
@angular/core,2017,5,1499037,2017-05-01
@angular/core,2017,6,1605640,2017-06-01
@angular/core,2017,7,1726461,2017-07-01
@angular/core,2017,8,1853198,2017-08-01
@angular/core,2017,9,1885029,2017-09-01
@angular/core,2017,10,2168899,2017-10-01
@angular/core,2017,11,2369837,2017-11-01
@angular/core,2017,12,2118275,2017-12-01
@angular/core,2018,1,2585966,2018-01-01
@angular/core,2018,2,2523632,2018-02-01
@angular/core,2018,3,2862202,2018-03-01
@angular/core,2018,4,2618252,2018-04-01
@angular/core,2018,5,3179610,2018-05-01
@angular/core,2018,6,3110572,2018-06-01
@angular/core,2018,7,3433279,2018-07-01
@angular/core,2018,8,4107825,2018-08-01
@angular/core,2018,9,3785735,2018-09-01
@angular/core,2018,10,4079134,2018-10-01
@angular/core,2018,11,4072219,2018-11-01
@angular/core,2018,12,3606818,2018-12-01
@angular/core,2019,1,4343267,2019-01-01
@angular/core,2019,2,4334171,2019-02-01
@angular/core,2019,3,4657378,2019-03-01
@angular/core,2019,4,4633421,2019-04-01
@angular/core,2019,5,4797688,2019-05-01
@angular/core,2019,6,4633593,2019-06-01
@angular/core,2019,7,5140042,2019-07-01
