period,@angular/core,react,vue
2015-01-01,0,0,0
2015-02-01,0,11998,4946
2015-03-01,0,192495,7174
2015-04-01,0,240114,6981
2015-05-01,0,278768,9461
2015-06-01,0,367412,13387
2015-07-01,0,439284,24302
2015-08-01,0,457473,9994
2015-09-01,0,517258,14999
2015-10-01,0,625084,17700
2015-11-01,0,796863,50822
2015-12-01,0,828461,50919
2016-01-01,0,1061729,48243
2016-02-01,0,1127319,29803
2016-03-01,0,1377057,67236
2016-04-01,0,1625758,96319
2016-05-01,0,1681429,124185
2016-06-01,0,1693632,141557
2016-07-01,0,1791560,132527
2016-08-01,0,2118532,140417
2016-09-01,0,2168065,135075
2016-10-01,648388,2278493,191392
2016-11-01,693729,2564601,227628
2016-12-01,773365,2402127,243538
2017-01-01,936740,2924208,280773
2017-02-01,1082831,2961989,345766
2017-03-01,1350222,3643833,519761
2017-04-01,1289953,3957359,448786
2017-05-01,1499037,4465087,572362
2017-06-01,1605640,4925865,580894
2017-07-01,1726461,4766380,660067
2017-08-01,1853198,5284013,709063
2017-09-01,1885029,5581184,812561
2017-10-01,2168899,7040410,874424
2017-11-01,2369837,7366635,1076463
2017-12-01,2118275,6170952,1049066
2018-01-01,2585966,7523768,1193073
2018-02-01,2523632,7875162,1081402
2018-03-01,2862202,9740774,1556783
2018-04-01,2618252,9802818,1443372
2018-05-01,3179610,10302291,1491657
2018-06-01,3110572,11187155,1606459
2018-07-01,3433279,11556427,1814560
2018-08-01,4107825,12592787,2231426
2018-09-01,3785735,12722912,2199441
2018-10-01,4079134,16586313,2752529
2018-11-01,4072219,15758954,2849511
2018-12-01,3606818,13639696,2902949
2019-01-01,4343267,20388507,3244749
2019-02-01,4334171,22617750,3369580
2019-03-01,4657378,25391784,4114746
2019-04-01,4633421,21484718,4097378
2019-05-01,4797688,23370642,4232210
2019-06-01,4633593,20316955,3995196
2019-07-01,5140042,22785712,4589346
2019-08-01,5040706,23882767,4575779
2019-09-01,5256548,23709578,4556959
2019-10-01,5982276,27636327,5275366
2019-11-01,5633371,26399902,5433849
2019-12-01,4892260,23147547,4935529
2020-01-01,5621025,26725998,5455880
2020-02-01,6003104,27884703,5794155
2020-03-01,6933219,34634871,6948878
2020-04-01,6814188,35984159,6899472
2020-05-01,6637873,33571306,6655801
2020-06-01,6619260,32524936,6809919
2020-07-01,7657610,34483822,7429533
2020-08-01,7504543,33255137,7374042
2020-09-01,8239096,35290230,8347764
2020-10-01,8861794,38471831,8666535
2020-11-01,8839529,37225237,8301803
2020-12-01,8490025,34574548,8034568
2021-01-01,9183027,36696617,8409502
2021-02-01,10066886,40218041,8773960
2021-03-01,11925345,48579475,10728910
2021-04-01,11012523,45103483,9861822
2021-05-01,11074584,45648399,9935099
2021-06-01,11651534,47660775,11165546
2021-07-01,11090802,46257534,10965739
2021-08-01,11358900,48160976,10865724
2021-09-01,11889398,50016259,11440292
2021-10-01,12156425,50865853,11253493
2021-11-01,11997348,52880032,11961334
2021-12-01,10898334,51925027,11237560
2022-01-01,11562920,58992112,11759830
2022-02-01,12027644,61590831,12452541
2022-03-01,13672408,71390997,14574952
2022-04-01,12086454,63224624,13168672
2022-05-01,13107341,65096557,14278203
2022-06-01,13681424,69580774,14428351
2022-07-01,11862073,62949650,13730341
2022-08-01,13388357,73149574,15196737
2022-09-01,13536020,72383277,15143970
2022-10-01,13268807,73547553,15669436
2022-11-01,14166663,80759374,31278907
2022-12-01,12065915,68258462,154612153
2023-01-01,13296203,76435491,15549153
2023-02-01,13429566,79838077,15996230
2023-03-01,15354855,89481922,17920910
2023-04-01,12964865,80592304,15312898
2023-05-01,14596904,87710006,17220181
2023-06-01,14511177,88289747,17255807
2023-07-01,14030721,85776565,16769992
2023-08-01,14420232,95685058,17522166
2023-09-01,13728488,88028269,16544840
2023-10-01,14438049,96585914,18113522
2023-11-01,13331786,90791519,17580572
2023-12-01,11732956,81508775,16180229
2024-01-01,14053246,96689831,19228920
2024-02-01,14327423,97919218,19110433
2024-03-01,14244626,98355322,20033667
2024-04-01,14519967,98378123,20894967
2024-05-01,14795602,104872266,21227680
2024-06-01,14049134,99090401,20422600
2024-07-01,15214127,108673589,22338046
2024-08-01,14407832,104417844,21444927
2024-09-01,14626610,107136342,22672322
2024-10-01,16402628,117559363,24457800
2024-11-01,15720585,114126945,23607605
2024-12-01,13295040,103113108,21612577
2025-01-01,15564011,119084176,24295304
2025-02-01,15633239,127964819,25270248
2025-03-01,16762252,142777706,27123621
2025-04-01,16844398,162302571,26881867
2025-05-01,16779647,164758694,26846433
2025-06-01,17544452,185729287,30219770
2025-07-01,18484407,187913732,30130088
2025-08-01,17029737,191401715,32463335
2025-09-01,17773172,192326808,33009776
2025-10-01,18162117,204370780,30854330
2025-11-01,17556725,214020736,30703451
2025-12-01,17031959,236129342,31650196
2026-01-01,17465368,275446152,33224273
2026-02-01,18761986,333340617,35679795
2026-03-01,23226420,464131240,48387281
2026-04-01,22245463,526277028,48343912
2026-05-01,22464152,562038855,52309836
2026-06-01,24650047,599915446,56268278
2026-07-01,24770343,689332252,61075864
