package,period,downloads,growth_abs,ma_3,ma_6,p95_6
@angular/core,2015-01-01,0,NA,NA,NA,NA
@angular/core,2015-02-01,0,0,NA,NA,NA
@angular/core,2015-03-01,0,0,0,NA,NA
@angular/core,2015-04-01,0,0,0,NA,NA
@angular/core,2015-05-01,0,0,0,NA,NA
@angular/core,2015-06-01,0,0,0,0,0
@angular/core,2015-07-01,0,0,0,0,0
@angular/core,2015-08-01,0,0,0,0,0
@angular/core,2015-09-01,0,0,0,0,0
@angular/core,2015-10-01,0,0,0,0,0
@angular/core,2015-11-01,0,0,0,0,0
@angular/core,2015-12-01,0,0,0,0,0
@angular/core,2016-01-01,0,0,0,0,0
@angular/core,2016-02-01,0,0,0,0,0
@angular/core,2016-03-01,0,0,0,0,0
@angular/core,2016-04-01,0,0,0,0,0
@angular/core,2016-05-01,0,0,0,0,0
@angular/core,2016-06-01,0,0,0,0,0
@angular/core,2016-07-01,0,0,0,0,0
@angular/core,2016-08-01,0,0,0,0,0
@angular/core,2016-09-01,0,0,0,0,0
@angular/core,2016-10-01,648388,648388,216129.33333333334,108064.66666666667,486291
@angular/core,2016-11-01,693729,45341,447372.3333333333,223686.16666666666,682393.75
@angular/core,2016-12-01,773365,79636,705160.6666666666,352580.3333333333,753456
@angular/core,2017-01-01,936740,163375,801278,508703.6666666667,895896.25
@angular/core,2017-02-01,1082831,146091,930978.6666666666,689175.5,1046308.25
@angular/core,2017-03-01,1350222,267391,1123264.3333333333,914212.5,1283374.25
@angular/core,2017-04-01,1289953,-60269,1241002,1021140,1335154.75
@angular/core,2017-05-01,1499037,209084,1379737.3333333333,1155358,1461833.25
@angular/core,2017-06-01,1605640,106603,1464876.6666666667,1294070.5,1578989.25
@angular/core,2017-07-01,1726461,120821,1610379.3333333333,1425690.6666666667,1696255.75
@angular/core,2017-08-01,1853198,126737,1728433,1554085.1666666667,1821513.75
@angular/core,2017-09-01,1885029,31831,1821562.6666666667,1643219.6666666667,1877071.25
@angular/core,2017-10-01,2168899,283870,1969042,1789710.6666666667,2097931.5
@angular/core,2017-11-01,2369837,200938,2141255,1934844,2319602.5
@angular/core,2017-12-01,2118275,-251562,2219003.6666666665,2020283.1666666667,2319602.5
