date,Angular,React,Vue
2020-08-01,20,24.5,0
2020-09-01,21.25,16.75,10
2020-10-01,0,0,0
2020-11-01,0,8.8,0
2020-12-01,22.25,10.5,0
2021-01-01,8.4,18.8,0
2021-02-01,0,20.75,0
2021-03-01,0,12.25,0
2021-04-01,0,24.25,0
2021-05-01,9.2,32,0
2021-06-01,0,11,0
2021-07-01,0,14.75,0
2021-08-01,0,10,0
2021-09-01,0,26.75,0
2021-10-01,0,9.6,0
2021-11-01,0,0,14
2021-12-01,0,0,12.25
2022-01-01,18.4,32.2,0
2022-02-01,22.5,53.75,0
2022-03-01,22.25,42.5,0
2022-04-01,0,50,7.75
2022-05-01,32.2,77.2,0
2022-06-01,18.75,62.25,0
2022-07-01,9,67.4,0
2022-08-01,14.75,51.5,0
2022-09-01,0,55.75,0
2022-10-01,16,43.6,0
2022-11-01,22.25,61,8.75
2022-12-01,0,48.75,0
2023-01-01,8.2,70.8,20.4
2023-02-01,10.25,64.5,0
2023-03-01,12,55.75,0
2023-04-01,16.4,49.6,0
2023-05-01,10.25,68.25,0
2023-06-01,18.5,65.75,9
2023-07-01,27.2,59.4,0
2023-08-01,0,36,0
2023-09-01,0,64.75,0
2023-10-01,7.6,69.2,0
2023-11-01,0,63.5,0
2023-12-01,8.2,41.8,0
2024-01-01,14,58.25,0
2024-02-01,0,62.25,0
2024-03-01,9.6,54.8,0
2024-04-01,19.25,71.75,0
2024-05-01,25.75,24.25,0
2024-06-01,0,52.4,0
2024-07-01,0,43.75,0
2024-08-01,0,47.5,0
2024-09-01,0,52,0
2024-10-01,0,34.5,0
2024-11-01,12,43.25,0
2024-12-01,0,9.8,0
2025-01-01,17.25,14,0
2025-02-01,0,36,0
2025-03-01,11,32,0
2025-04-01,0,26.75,0
2025-05-01,0,0,0
2025-06-01,0,19.8,0
2025-07-01,0,12.25,0
2025-08-01,6.5,21.5,3.5
