date,Angular,React,Vue
2021-08-15,26,42,13
2021-08-22,26,42,12
2021-08-29,26,41,13
2021-09-05,26,41,14
2021-09-12,28,44,15
2021-09-19,29,41,13
2021-09-26,28,44,14
2021-10-03,29,44,12
2021-10-10,26,43,13
2021-10-17,27,45,15
2021-10-24,26,48,14
2021-10-31,24,39,14
2021-11-07,28,45,15
2021-11-14,26,47,14
2021-11-21,25,45,14
2021-11-28,28,49,14
2021-12-05,27,49,14
2021-12-12,28,48,14
2021-12-19,25,44,13
2021-12-26,20,37,10
2022-01-02,32,63,16
2022-01-09,32,68,18
2022-01-16,31,67,17
2022-01-23,34,75,19
2022-01-30,33,72,16
2022-02-06,35,78,19
2022-02-13,38,86,23
2022-02-20,37,83,21
2022-02-27,35,84,20
2022-03-06,37,84,20
2022-03-13,36,87,20
2022-03-20,38,87,19
2022-03-27,41,98,20
2022-04-03,39,93,20
2022-04-10,32,89,20
2022-04-17,38,100,22
2022-04-24,37,94,19
2022-05-01,33,86,19
2022-05-08,40,99,20
2022-05-15,35,89,20
2022-05-22,33,88,23
2022-05-29,31,81,19
2022-06-05,31,88,19
2022-06-12,33,89,20
2022-06-19,34,92,20
2022-06-26,32,88,21
2022-07-03,31,89,19
2022-07-10,32,90,20
2022-07-17,35,91,19
2022-07-24,31,92,19
2022-07-31,35,87,19
2022-08-07,31,85,18
2022-08-14,30,84,19
2022-08-21,37,89,19
2022-08-28,32,81,17
2022-09-04,32,82,18
2022-09-11,34,86,19
2022-09-18,34,87,19
2022-09-25,32,84,18
2022-10-02,28,81,17
2022-10-09,32,87,18
2022-10-16,33,87,18
2022-10-23,28,84,18
2022-10-30,30,85,18
2022-11-06,30,87,21
2022-11-13,35,95,18
2022-11-20,30,83,17
2022-11-27,31,83,17
2022-12-04,28,87,17
2022-12-11,31,84,18
2022-12-18,28,79,16
2022-12-25,22,69,13
2023-01-01,26,79,14
2023-01-08,31,83,17
2023-01-15,31,83,17
2023-01-22,30,86,16
2023-01-29,31,89,19
2023-02-05,32,92,18
2023-02-12,35,86,18
2023-02-19,33,89,18
2023-02-26,29,87,17
2023-03-05,29,83,17
2023-03-12,31,87,17
2023-03-19,30,89,17
2023-03-26,29,86,17
2023-04-02,27,78,16
2023-04-09,28,85,16
2023-04-16,27,79,16
2023-04-23,26,76,15
2023-04-30,26,71,13
2023-05-07,27,74,15
2023-05-14,27,75,15
2023-05-21,27,78,15
2023-05-28,26,74,15
2023-06-04,26,74,15
2023-06-11,27,83,15
2023-06-18,27,76,14
2023-06-25,25,72,15
2023-07-02,26,77,16
2023-07-09,29,83,17
2023-07-16,28,75,15
2023-07-23,27,77,15
2023-07-30,25,75,15
2023-08-06,28,75,14
2023-08-13,24,70,14
2023-08-20,24,74,15
2023-08-27,25,73,15
2023-09-03,25,72,14
2023-09-10,27,73,14
2023-09-17,25,71,14
2023-09-24,25,68,14
2023-10-01,25,69,12
2023-10-08,25,69,13
2023-10-15,25,71,15
2023-10-22,23,71,14
2023-10-29,24,66,13
2023-11-05,24,68,14
2023-11-12,22,61,14
2023-11-19,23,65,13
2023-11-26,24,70,14
2023-12-03,23,64,14
2023-12-10,23,68,13
2023-12-17,23,65,13
2023-12-24,17,54,10
2023-12-31,21,59,11
2024-01-07,24,69,14
2024-01-14,24,69,14
2024-01-21,25,68,14
2024-01-28,26,81,15
2024-02-04,27,76,14
2024-02-11,26,73,13
2024-02-18,26,79,15
2024-02-25,28,79,15
2024-03-03,27,74,16
2024-03-10,28,78,16
2024-03-17,29,78,15
2024-03-24,26,74,14
2024-03-31,24,71,13
2024-04-07,24,70,14
2024-04-14,26,73,14
2024-04-21,27,73,14
2024-04-28,24,69,12
2024-05-05,24,70,13
2024-05-12,26,75,14
2024-05-19,27,72,13
2024-05-26,25,71,13
2024-06-02,24,70,13
2024-06-09,24,69,13
2024-06-16,24,68,13
2024-06-23,24,68,13
2024-06-30,23,64,12
2024-07-07,24,67,12
2024-07-14,24,67,12
2024-07-21,23,66,12
2024-07-28,26,66,11
2024-08-04,24,66,12
2024-08-11,21,63,11
2024-08-18,21,65,12
2024-08-25,23,64,13
2024-09-01,21,64,12
2024-09-08,21,64,12
2024-09-15,21,61,10
2024-09-22,22,60,11
2024-09-29,20,61,10
2024-10-06,20,59,10
2024-10-13,21,60,11
2024-10-20,21,60,10
2024-10-27,17,52,11
2024-11-03,19,57,10
2024-11-10,21,60,11
2024-11-17,20,58,11
2024-11-24,20,57,11
2024-12-01,20,58,11
2024-12-08,20,58,11
2024-12-15,18,54,10
2024-12-22,12,43,9
2024-12-29,12,41,7
2025-01-05,18,61,10
2025-01-12,20,57,10
2025-01-19,18,60,10
2025-01-26,19,55,8
2025-02-02,20,60,10
2025-02-09,19,59,10
2025-02-16,19,63,10
2025-02-23,19,55,9
2025-03-02,17,57,10
2025-03-09,18,54,9
2025-03-16,18,53,9
2025-03-23,17,54,9
2025-03-30,17,46,9
2025-04-06,17,47,9
2025-04-13,15,45,7
2025-04-20,14,45,7
2025-04-27,13,42,7
2025-05-04,13,39,7
2025-05-11,15,43,7
2025-05-18,15,44,7
2025-05-25,13,42,7
2025-06-01,14,40,7
2025-06-08,14,40,7
2025-06-15,14,44,7
2025-06-22,13,46,7
2025-06-29,13,42,7
2025-07-06,13,40,7
2025-07-13,13,40,7
2025-07-20,13,40,6
2025-07-27,12,38,6
2025-08-03,12,38,7
2025-08-10,10,36,6
2025-08-17,11,38,6
2025-08-24,12,36,6
2025-08-31,10,36,6
2025-09-07,11,36,6
2025-09-14,11,36,6
2025-09-21,11,34,6
2025-09-28,10,32,6
2025-10-05,11,39,6
2025-10-12,11,36,6
2025-10-19,9,40,6
2025-10-26,10,32,6
2025-11-02,10,36,5
2025-11-09,10,31,6
2025-11-16,9,30,5
2025-11-23,8,28,4
2025-11-30,9,29,5
2025-12-07,8,29,5
2025-12-14,8,27,4
2025-12-21,5,23,4
2025-12-28,4,20,4
2026-01-04,8,29,6
2026-01-11,8,29,4
2026-01-18,9,28,4
2026-01-25,9,28,5
2026-02-01,8,32,4
2026-02-08,9,46,16
2026-02-15,8,55,4
2026-02-22,7,40,4
2026-03-01,8,25,4
2026-03-08,8,25,4
2026-03-15,8,25,4
2026-03-22,7,24,5
2026-03-29,8,30,5
2026-04-05,8,30,5
2026-04-12,6,25,4
2026-04-19,7,23,4
2026-04-26,6,26,5
2026-05-03,7,27,4
2026-05-10,7,26,5
2026-05-17,8,27,4
2026-05-24,7,28,4
2026-05-31,10,28,4
2026-06-07,8,32,4
2026-06-14,8,38,4
